Identificador,Tipo de subasta,Cuenta expediente,Fecha de inicio,Fecha de conclusión,Cantidad reclamada,Lotes,Anuncio BOE,Valor subasta,Tasación,Puja mínima,Tramos entre pujas,Importe del depósito,Descripción,Dirección,Código Postal,Localidad,Provincia,Vivienda habitual,Situación posesoria,Visitable,Inscripción registral,Referencia catastral,Cargas,Dirección Mapa
SUB-JA-2023-212554,JUDICIAL EN VÍA DE APREMIO,1654 0000 05 4700 20,2023-08-15,2023-09-04,150802.5,0,BOE-B-2023-23664,518551.0,0.0,259275.5,10371.02,25927.55,"URBANA.= Parcela de terreno sita en la calle Figueras, número cuarenta y dos, en término de Torroella de Montgrí, que mide una superficie de CIENTO NOVENTA Y TRES METROS, NOVENTA Y UN DECIMETROS CUADRADOS; sobre la cual se encuentra edificada UNA VIVIENDA UNIFAMILIAR, entre medianeras, de planta baja, planta piso y buhardilla, con una superficie construida de CIENTO CINCUENTA Y NUEVE METROS, SETENTA DICIMETROS CUADRADOS,.",CALLE FIGUERAS 42,17257,TORROELLA DE MONTGRÍ,GIRONA,Sí,No consta,No consta,"Finca nº 18209 de Torroella de Montgrí, inscrita en el Registro de la Propiedad de la Bisbal d’Empordà, al tomo 3146, libro 444, folio 20 y ss.",No consta,No consta,CALLE FIGUERAS 42
SUB-JA-2023-212514,JUDICIAL EN VÍA DE APREMIO,2188 0000 04 0064 20,2023-08-15,2023-09-04,39913.57,0,BOE-B-2023-23670,198862.74,0.0,100.0,3977.25,9943.13,"RUSTICA. Pieza de Tierra de secano sobre la cual hay edificada una granja destinada a la cria de porcino. Sita en C/Costereta, nº 3 de Vallbona de les Monges 25268 (lleida)",CALLE COSTERETA Nº 3 DE VALLBONA DE LES MONGES 25268 (LLEIDA),25268,VALLBONA DE LES MONGES,LLEIDA,No,No consta,No consta,No consta,No consta,No consta,CALLE COSTERETA Nº 3
SUB-AT-2023-23R0886001208,AGENCIA TRIBUTARIA,0123 4567 89 0987 65,2023-08-15,2023-09-04,0.0,0,BOE-B-2023-23835,503777.29,503777.29,0.0,5000.0,25188.86,"100% PLENO DOMINIO. URBANA: ENTIDAD NUMERO SEIS. PISO PRIMERO PUERTA         TERCERA, EN LA PRIMERA PLANTA ALTA A CONTAR DE LA PLANTA ALTILLO DEL         EDIFICIO SITO EN BARCELONA, CON FRENTE A LA CALLE MARQUÉS DE SENTMENAT,      DONDE ESTÁ SEÑALADA CON LOS Nº 67 Y 69. CONSTA DE VARIAS HABITACIONES Y      SERICIOS. TIENE UNA SUPERFICIE ÚTIL DE 94M2. LINDA: FRENTE, HUECOS DEL       ASCENSOR Y DE LA ESCALERA GENERAL, RELLANO DE ÉSTA POR DONDE TIENE SU        ENTRADA Y PATIOS INTERIORES DE LUCES  DERECHA ENTRANDO, ANTONIA GRIELL       IZQUIERDA, CONCEPCIÓN BUFARULL TRIAS O SUCESORES, Y FONDO, MEDIANTE EL PATIO QUE SE DIRÁ, CON CUBIERTA DE LA PLANTA ALTILLO. ESTA ENTIDAD TIENE EL USO    ECLUSIVO DEL PATIO TRASERO, DE 108M2, SITUADO ENTRE ESTA ENTIDAD Y LA ZONA",CALLE MARQUES DE SENTMENAT 67 01 03,8029,BARCELONA,BARCELONA,No,No consta,No consta,"BIEN INSCRITO EN REGISTRO NÚM. 7 DE BARCELONA TOMO: 566 , FOLIO: 11 , LIBRO: 555. FINCA: 42722  , INSCRIPCIÓN: 3",8121910DF2882A0053OB,"0,00 €",CALLE MARQUES DE SENTMENAT 67
SUB-AT-2023-23R4786001188,AGENCIA TRIBUTARIA,0123 4567 89 0987 65,2023-08-15,2023-09-04,0.0,0,BOE-B-2023-23830,30000.0,30000.0,0.0,500.0,1500.0,"100% DEL PLENO DOMINIO. FINCA 9463 DE ALDEARRUBIA, QUE SEGUN DESCRIPCION     REGISTRAL ES FINCA RUSTICA DESTINADO A CEREAL AL SITIO DEL BARROSO,          IDENTIFICADA COMO LA PARCELA 30 DEL POLÍGONO 11 DE ALDEARRUBIA , QUE TIENE   UNA SUPERFICIE DE 1 HECTÁREA, 91 AREAS Y 16 CENTIAREAS Y LINDA: NORTE, JESUS GONZALEZ PINTO, FINCA 33 Y ANGELES BELLIDO DEL POZO, FINCA 32  SUR, CAMINO   DEL BARROSO  ESTE, SENDERO TARAGUDO Y LUIS DIEGO DEL POZO, FINCA 31  OESTE,  DOMINICA DE DIOS DE DIOS, FINCA 29. INDIVISIBLE. SEGUN CATASTRO POLÍGONO 511 PARCELA 30 EL BARROSO, LABOR REGADÍO IP02. REFERENCIA CATASTRAL              37020A511000300000OP",PASAJE BARROSO 0,37340,ALDEARRUBIA,SALAMANCA,No,No consta,No consta,"BIEN INSCRITO EN REGISTRO NÚM. 2 DE SALAMANCA TOMO: 216 , FOLIO: 229 , LIBRO: 110. FINCA: 9463   , INSCRIPCIÓN: 2",37020A511000300000OP,"0,00 €",PASAJE BARROSO 0
SUB-AT-2023-23R4786001192,AGENCIA TRIBUTARIA,0123 4567 89 0987 65,2023-08-15,2023-09-04,0.0,0,BOE-B-2023-23831,10000.0,10000.0,0.0,500.0,500.0,"EL 50% (MITAD) DEL PLENO DOMINIO DE LA FINCA 10.530 DE QUINTANILLA DE        ONSOÑA, QUE SEGÚN DESCRIPCIÓN REGISTRAL ES RÚSTICA DE SECANO, FINCA 32-A DE  LA HOJA 7 A CARRESANJUAN, POLÍGONO 7 PARCELA 32, DE SUPERFICIE 2,77          HECTÁREAS Y LINDEROS: NORTE, ARROYO CARRESANJUAN  SUR, FINCA 32-B DE JOSÉ    LUIS DEL RÍO  ESTE, FINCA 33 DE DANIEL DEL RÍO  OESTE, CAMINO DE QUINTANILLA DE ONSOÑA A GOZÓN DE UCIEZA. ESTA FINCA LINDA CON DOMINIO PÚBLICO VIARIO E   HIDROGRÁFICO.",PASAJE CARRESANJUAN 0,34114,QUINTANILLA DE ONSOÑA,PALENCIA,No consta,No consta,No consta,"BIEN INSCRITO EN REGISTRO  DE SALDAÑA TOMO: 1679 , FOLIO: 250 , LIBRO: 72. FINCA: 10530  , INSCRIPCIÓN: 2",No consta,"0,00 €",PASAJE CARRESANJUAN 0
SUB-AT-2023-23R4786001194,AGENCIA TRIBUTARIA,0123 4567 89 0987 65,2023-08-15,2023-09-04,0.0,0,BOE-B-2023-23832,8000.0,8000.0,0.0,500.0,400.0,"50% DEL PLENO DOMINIO DE LA FINCA 40879 DEL RP 1 SALAMANCA, QUE SEGÚN        DESCRIPCIÓN REGISTRAL ES URBANA, SEIS, PLAZA DE GARAJE Nº 6 EN PLANTA BAJA   EN LA CALLE SANTA TERESITA DEL NIÑO JESÚS Nº1, CON FACHADA TAMBIÉN A LA      CALLE SAN ANDRÉS  SE ACCEDE A TRAVÉS DE PUERTA COMÚN QUE SE ABRE EN LA CALLE SAN ANDRÉS, MIDE 32,07 M2 CONSTRUIDOS Y 13,40 M2 ÚTILES Y LINDA POR EL       FRENTE, PASILLO DE ACCESO Y MANIOBRAS  DERECHA, ENTRANDO, PLAZA DE GARAJE Nº 7 DE SU PLANTA  IZQUIERDA, PLAZA DE GARAJE Nº5 DE SU PLANTA  Y FONDO,        NICANOR GARCÍA. REFERENCIA CATASTRAL: 5398718TL7359G0006DS",CALLE SANTA TERESITA DEL NIÑO J 1 BJ 6,37006,SALAMANCA,SALAMANCA,No consta,No consta,No consta,"BIEN INSCRITO EN REGISTRO NÚM. 1 DE SALAMANCA TOMO: 4129 , FOLIO: 139 , LIBRO: 617. FINCA: 40879  , INSCRIPCIÓN: 3",5398718TL7359G0006DS,"0,00 €",CALLE SANTA TERESITA DEL NIÑO J 1
SUB-JA-2023-211619,JUDICIAL EN VÍA DE APREMIO,5066 0000 06 0118 22,2023-08-15,2023-09-04,254040.27,0,BOE-B-2023-23690,223501.51,0.0,0.0,4470.03,11175.07,FINCA REGISTRAL Nº 71.619,CALLE VILLASANDINO Nº 36-ESC 1 PUERTA D,28011,MADRID,MADRID,No consta,No consta,No consta,No consta,No consta,No consta,CALLE VILLASANDINO Nº 36
SUB-JA-2023-211574,JUDICIAL EN VÍA DE APREMIO,0894 0000 06 0393 22,2023-08-15,2023-09-04,214938.35,0,BOE-B-2023-23714,252688.59,0.0,0.0,5053.77,12634.42,"URBANA. ENTIDAD DECIMOPRIMERA. Bloque quinto, escalera C, segunda planta, puerta primera o izquierda subiendo por la escalera, de la vivienda en Sant Sadurní d´Anoia, calle Las Palmeras número uno, primero primera, o segunda planta en altura.",CALLE LES PALMERES Nº 1 ESC. C 1º 1ª,8770,SANT SADURNÍ D´ANOIA,BARCELONA,Sí,Ocupantes con derecho de permanencia,No consta,No consta,No consta,No consta,CALLE LES PALMERES Nº 1
SUB-JA-2023-211054,JUDICIAL EN VÍA DE APREMIO,4368 0000 06 0282 15,2023-08-15,2023-09-04,47805.12,0,BOE-B-2023-23708,60000.0,0.0,0.0,1200.0,3000.0,Casa en Cullera,CALLE BARREIG DEL POU NUM. 23,46400,CULLERA,VALENCIA/VALÈNCIA,Sí,No consta,No consta,No consta,7589008YJ3378N0001SW,No consta,CALLE BARREIG DEL POU NUM. 23
SUB-JA-2023-210855,JUDICIAL EN VÍA DE APREMIO,2188 0000 06 0009 19,2023-08-15,2023-09-04,139498.92,0,BOE-B-2023-23671,285789.7,0.0,100.0,5715.79,14289.48,"vivienda sita en la planta tercera puerta tercera de la escalera 2 con trastero sito en la planta bajocubierta, comunicados mediante una escalera interior, del edificio sito en Bellpuig, calle Isabel de Casanovas","CALLE ISABEL DE CASANOVAS,",25250,BELLPUIG,LLEIDA,No consta,No consta,No consta,No consta,No consta,No consta,"CALLE ISABEL DE CASANOVAS,"
